Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Measure_Description,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-2_Overall_Footnote,HBIPS-3_Measure_Description,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-3_Overall_Footnote,HBIPS-5_Measure_Description,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-5_Overall_Footnote,HBIPS-6_Measure_Description,HBIPS-6_Overall_%_of_Total,HBIPS-6_Overall_Num,HBIPS-6_Overall_Den,HBIPS-6_Overall_Footnote,HBIPS-7_Measure_Description,HBIPS-7_Overall_%_of_Total,HBIPS-7_Overall_Num,HBIPS-7_Overall_Den,HBIPS-7_Overall_Footnote,SUB-1_Measure_Description,SUB-1_%,SUB-1_Numerator,SUB-1_Denominator,SUB-1_Footnote,TOB-1_Measure_Description,TOB-1_%,TOB-1_Numerator,TOB-1_Denominator,TOB-1_Footnote,TOB-2/-2a_Measure_Desc,TOB-2_%,TOB-2_Numerator,TOB-2/-2a_Denominator,TOB-2_Footnote,TOB-2a_%,TOB-2a_Numerator,TOB-2/-2a__Denominator,TOB-2a_Footnote,PEoC_Measure_Description,PEoC_Assessed_Response,PEoC_Assessed_Footnote,EHR_Use_Measure_Description,EHR_Use_Response,EHR_Use_Footnote,HIE_Measure_Description,HIE_Response,HIE_Footnote,Start_Date,End_Date,FUH_Measure_Description,FUH-30_%,FUH-30_Numerator,FUH-30_Denominator,FUH-30_Footnote,FUH-7_%,FUH-7_Numerator,FUH-7_Denominator,FUH-7_Footnote,FUH_Measure_Start_Date,FUH_Measure_End_Date,IMM-2_Measure_Description,IMM-2_%,IMM-2_Numerator,IMM-2_Denominator,IMM-2_Footnote,HCP_Measure_Description,HCP_%,HCP_Numerator,HCP_Denominator,HCP_Footnote,Flu_Season_Start_Date,Flu_Season_End_Date
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE ","GADSDEN","AL","35903","Etowah","Hours of physical-restraint use","0.00","0","4165","","Hours of seclusion","0.00","0","4165","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","90.54%","201","222","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","80.63%","179","222","","Alcohol Use Screening","99.66%","296","297","","Tobacco Use Screening","100.00%","296","296","","Tobacco Use Treatment (during the hospital stay)","80.43%","37","46","","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","35.90%","14","39","","Not Available","Not Available","Not Available","1","07/01/2014","06/30/2015","Influenza Immunization","100.00%","145","145","","Healthcare Personnel Influenza Vaccination","Not Available","Not Available","Not Available","1","10/01/2015","03/31/2016"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET ","GADSDEN","AL","35901","Etowah","Hours of physical-restraint use","0.00","0","1797","","Hours of seclusion","0.17","7.33","1797","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","92.59%","125","135","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","82.22%","111","135","","Alcohol Use Screening","74.22%","95","128","","Tobacco Use Screening","96.09%","123","128","","Tobacco Use Treatment (during the hospital stay)","69.57%","16","23","","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","58.54%","24","41","","Not Available","Not Available","Not Available","1","07/01/2014","06/30/2015","Influenza Immunization","80.77%","63","78","","Healthcare Personnel Influenza Vaccination","58","350","608","","10/01/2015","03/31/2016"
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE ","GENEVA","AL","36340","Geneva","Hours of physical-restraint use","0.00","0","4500","","Hours of seclusion","0.00","0","4500","","Patients discharged on multiple antipsychotic medications with appropriate justification","35.90%","14","39","","Post-discharge continuing care plan created","100.00%","62","62","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","96.88%","62","64","","Alcohol Use Screening","100.00%","64","64","","Tobacco Use Screening","100.00%","64","64","","Tobacco Use Treatment (during the hospital stay)","27.59%","64","232","","0.00%","0","232","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","56.10%","23","41","","Not Available","Not Available","Not Available","1","07/01/2014","06/30/2015","Influenza Immunization","Not Available","Not Available","Not Available","1","Healthcare Personnel Influenza Vaccination","Not Available","Not Available","Not Available","1","10/01/2015","03/31/2016"
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST ","EUFAULA","AL","36027","Barbour","Hours of physical-restraint use","0.00","0","2355","","Hours of seclusion","0.00","0","2355","","Patients discharged on multiple antipsychotic medications with appropriate justification","100.00%","11","11","","Post-discharge continuing care plan created","100.00%","233","233","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","100.00%","233","233","","Alcohol Use Screening","100.00%","233","233","","Tobacco Use Screening","100.00%","233","233","","Tobacco Use Treatment (during the hospital stay)","55.79%","130","233","","44.21%","103","233","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2014","06/30/2015","Influenza Immunization","100.00%","111","111","","Healthcare Personnel Influenza Vaccination","Not Available","Not Available","Not Available","1","10/01/2015","03/31/2016"
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","400 EAST 10TH STREET ","ANNISTON","AL","36207","Calhoun","Hours of physical-restraint use","0.06","8","5616","","Hours of seclusion","0.24","32.5","5616","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","99.72%","358","359","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","98.89%","355","359","","Alcohol Use Screening","99.77%","432","433","","Tobacco Use Screening","96.30%","416","432","","Tobacco Use Treatment (during the hospital stay)","92.27%","179","194","","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","40.00%","56","140","","22.86%","32","140","","07/01/2014","06/30/2015","Influenza Immunization","97.89%","278","284","","Healthcare Personnel Influenza Vaccination","73","35","48","","10/01/2015","03/31/2016"
"010085","DECATUR MORGAN HOSPITAL - DECATUR CAMPUS","1201 7TH STREET SE ","DECATUR","AL","35601","Morgan","Hours of physical-restraint use","0.00","0","13624","","Hours of seclusion","0.00","0","13624","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","81.75%","681","833","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","79.23%","660","833","","Alcohol Use Screening","96.31%","235","244","","Tobacco Use Screening","98.34%","237","241","","Tobacco Use Treatment (during the hospital stay)","0.00%","0","114","","0.00%","0","114","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","65.91%","58","88","","42.05%","37","88","","07/01/2014","06/30/2015","Influenza Immunization","72.66%","210","289","","Healthcare Personnel Influenza Vaccination","63","102","163","","10/01/2015","03/31/2016"
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43 P O BOX 130","WINFIELD","AL","35594","Fayette","Hours of physical-restraint use","0.00","0","2739","","Hours of seclusion","0.00","0","2739","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","99.00%","199","201","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","99.00%","199","201","","Alcohol Use Screening","100.00%","189","189","","Tobacco Use Screening","100.00%","191","191","","Tobacco Use Treatment (during the hospital stay)","85.71%","36","42","","71.43%","30","42","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","42.86%","12","28","","Not Available","Not Available","Not Available","1","07/01/2014","06/30/2015","Influenza Immunization","100.00%","89","89","","Healthcare Personnel Influenza Vaccination","77","92","119","","10/01/2015","03/31/2016"
"010089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST ","JASPER","AL","35502","Walker","Hours of physical-restraint use","0.02","10.23","21734","","Hours of seclusion","0.00","0","21734","","Patients discharged on multiple antipsychotic medications with appropriate justification","90.00%","27","30","","Post-discharge continuing care plan created","94.61%","439","464","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","92.89%","431","464","","Alcohol Use Screening","97.50%","506","519","","Tobacco Use Screening","98.23%","499","508","","Tobacco Use Treatment (during the hospital stay)","91.51%","291","318","","66.98%","213","318","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","48.21%","81","168","","27.38%","46","168","","07/01/2014","06/30/2015","Influenza Immunization","99.16%","235","237","","Healthcare Personnel Influenza Vaccination","75","27","36","","10/01/2015","03/31/2016"
"010091","GROVE HILL MEMORIAL HOSPITAL","295 SOUTH JACKSON ST ","GROVE HILL","AL","36451","Clarke","Hours of physical-restraint use","0.00","0","1636","","Hours of seclusion","0.00","0","1636","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","46.27%","62","134","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","25.37%","34","134","","Alcohol Use Screening","94.24%","131","139","","Tobacco Use Screening","96.45%","136","141","","Tobacco Use Treatment (during the hospital stay)","57.14%","16","28","","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2014","06/30/2015","Influenza Immunization","32.84%","22","67","","Healthcare Personnel Influenza Vaccination","61","17","28","","10/01/2015","03/31/2016"
"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST ","TUSCALOOSA","AL","35401","Tuscaloosa","Hours of physical-restraint use","1.62","498.26","12806","","Hours of seclusion","0.31","94.32","12806","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","92.81%","516","556","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","86.69%","482","556","","Alcohol Use Screening","98.14%","264","269","","Tobacco Use Screening","99.28%","274","276","","Tobacco Use Treatment (during the hospital stay)","77.61%","104","134","","61.94%","83","134","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","35.80%","58","162","","18.52%","30","162","","07/01/2014","06/30/2015","Influenza Immunization","98.43%","125","127","","Healthcare Personnel Influenza Vaccination","53","43","81","","10/01/2015","03/31/2016"
"010101","CITIZENS BMC","604 STONE AVENUE ","TALLADEGA","AL","35160","Talladega","Hours of physical-restraint use","0.21","23.7","4684","","Hours of seclusion","0.00","0","4684","","Patients discharged on multiple antipsychotic medications with appropriate justification","100.00%","11","11","","Post-discharge continuing care plan created","98.18%","269","274","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","97.45%","267","274","","Alcohol Use Screening","98.47%","258","262","","Tobacco Use Screening","94.44%","238","252","","Tobacco Use Treatment (during the hospital stay)","68.75%","33","48","","31.25%","15","48","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2014","06/30/2015","Influenza Immunization","100.00%","109","109","","Healthcare Personnel Influenza Vaccination","42","15","36","","10/01/2015","03/31/2016"
"010103","BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST ","BIRMINGHAM","AL","35211","Jefferson","Hours of physical-restraint use","0.00","0","28148","","Hours of seclusion","0.00","0","28148","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","81.23%","225","277","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","75.45%","209","277","","Alcohol Use Screening","99.81%","536","537","","Tobacco Use Screening","86.81%","441","508","","Tobacco Use Treatment (during the hospital stay)","84.71%","72","85","","52.94%","45","85","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2015","12/31/2015","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2014","06/30/2015","Influenza Immunization","75.36%","104","138","","Healthcare Personnel Influenza Vaccination","41","24","58","","10/01/2015","03/31/2016"
